X,Y,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,LAND_AREA,TOTAL_AREA
271276.885885166,153666.951854316,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01015","017005",Ballyellin,15.6899750000,15.8005410000
274603.428182289,160694.628219985,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01016","017006",Ballymoon,14.0902110000,14.0924660000
320905.612319499,239783.026577888,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02008","268008",Ayrfield,0.8941630000,0.8941630000
316879.675428645,235734.871970301,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02009","268009",Ballybough A,0.3457760000,0.3493030000
316277.13755485,235866.412072894,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02010","268010",Ballybough B,0.3540370000,0.3540370000
313683.326815102,238561.636741166,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02011","268012",Ballygall A,0.4846280000,0.4846280000
314192.580689118,238804.734746485,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02012","268013",Ballygall B,0.5558360000,0.5558360000
315046.782881961,238568.321931705,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02013","268011",Ballygall C,0.9924250000,0.9924250000
314394.385656325,238101.18537944,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02014","268014",Ballygall D,0.4336720000,0.4336720000
314181.756775241,240338.190901096,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02015","268015",Ballymun A,0.9463970000,0.9463970000
314975.887800097,240409.47200543,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02016","268016",Ballymun B,0.6637060000,0.6637060000
315925.617315303,239805.537291943,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02017","268017",Ballymun C,0.7734710000,0.7734710000
315198.799383108,239670.878951952,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02018","268018",Ballymun D,0.4725810000,0.4725810000
314875.561436483,239361.4772012,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02019","268019",Ballymun E,0.3546130000,0.3546130000
314190.612961301,239544.479757076,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02020","268020",Ballymun F,0.4359670000,0.4359670000
317425.273275133,239202.799264696,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02021","268021",Beaumont A,0.5131540000,0.5131540000
318249.359210742,239057.377928804,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02022","268022",Beaumont B,0.8503550000,0.8503550000
319174.669715572,238713.756207889,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02023","268023",Beaumont C,0.5953340000,0.5953340000
318670.742677466,238238.61968425,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02024","268024",Beaumont D,0.4668350000,0.4668350000
318269.384722427,237941.427138882,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02025","268025",Beaumont E,0.3150720000,0.3150720000
317774.932662417,238371.589204715,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02026","268026",Beaumont F,0.5436130000,0.5436130000
281363.18635768,168267.477958374,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01040","017041",Rathrush,23.4547720000,23.4569800000
263224.868851899,167050.741780357,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01041","017043",Ridge,17.2435930000,17.2435930000
282621.71080733,162266.553392327,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01042","017044",Shangarry,20.0465820000,20.0465820000
270953.365657173,156717.689555828,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01043","017045",Sliguff,14.9729830000,15.0615680000
286068.935535956,176553.261541948,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01044","017046",Tankardstown,16.8309870000,16.8319810000
277702.506086113,168011.970853634,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01045","017047",Templepeter,15.0909630000,15.0909630000
283357.31574482,171987.459201759,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01046","017052",Tullowbeg,12.0475320000,12.0484860000
286289.194232205,172875.714481122,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01047","017050",Tullow Rural,13.9046800000,13.9165180000
285248.847028368,173137.594129356,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01048","017051",Tullow Urban,3.3974980000,3.3974980000
278197.874208898,144263.979970645,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01049","017007",Ballymurphy,18.0077860000,18.0077860000
280570.18248475,147835.531840424,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01050","017015",Coonogue,15.2249670000,15.2249670000
275759.638511225,138370.886251163,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01051","017020",Glynn,22.4288220000,22.6044530000
276184.543420103,148257.260668505,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01052","017030",Kyle,16.7952410000,16.8371270000
274820.633420883,143862.587076626,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01053","017032",Marley,15.2990340000,15.3504520000
273151.450539455,141364.798992424,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01054","017049",Tinnahinch,13.6254240000,13.8139190000
314954.359899748,235626.34273967,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02001","268001",Arran Quay A,0.1532590000,0.1532590000
314583.969416651,235181.36241743,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02002","268002",Arran Quay B,0.7593900000,0.7593900000
314460.904379976,234451.153667956,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02003","268003",Arran Quay C,0.3610380000,0.3827160000
313749.57063912,234765.809471424,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02004","268004",Arran Quay D,0.3452950000,0.3452950000
314053.246964016,235028.010188166,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02005","268005",Arran Quay E,0.2645120000,0.2645120000
311971.850801222,237173.471995513,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02006","268006",Ashtown A,1.9969670000,1.9969670000
312007.96443981,236416.965489588,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02007","268007",Ashtown B,0.5954320000,0.5954320000
321120.448963309,237509.399756939,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02037","268041",Clontarf East A,2.1203210000,2.1231930000
321782.683535575,236355.667355046,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02038","268042",Clontarf East B,3.4826210000,3.4826210000
319822.702498096,236363.130039614,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02039","268043",Clontarf East C,0.8281310000,0.8281310000
319243.915180474,236505.764578215,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02040","268044",Clontarf East D,0.6269800000,0.6269800000
319916.18286199,237303.484584116,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02041","268045",Clontarf East E,0.4071860000,0.4071860000
319532.340300517,237897.082183259,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02042","268046",Clontarf West A,0.7022660000,0.7022660000
318949.005425049,237510.341609872,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02043","268047",Clontarf West B,0.3950880000,0.3950880000
318622.598846184,236771.821997782,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02044","268048",Clontarf West C,1.0511910000,1.0511910000
317761.988759142,236157.748803756,IE0,Ireland,IE02,Southern and Eastern,IE021,Dublin,"02",Dublin City,"02045","268049",Clontarf West D,0.8108860000,0.8217680000
