,Course Code,Course Name 2019,EOS 2019,Mid 2019,Institution,Test 2019,NotAll 2019,Matric 2019,AQA 2019,Level8 2019
133,CK211,Commerce (International) with Chinese Studies,398.0,420.0,University College Cork (NUI),False,False,False,False,True
134,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,429.0,University College Cork (NUI),False,False,False,False,True
135,CK301,Law (Pathways) -  3 or 4 years,476.0,519.0,University College Cork (NUI),False,False,False,False,True
136,CK302,Law and French,453.0,531.0,University College Cork (NUI),False,False,False,False,True
137,CK304,Law and Irish,462.0,510.0,University College Cork (NUI),False,False,False,False,True
138,CK307,Law and Business,522.0,554.0,University College Cork (NUI),False,False,False,False,True
139,CK401,Computer Science,402.0,456.0,University College Cork (NUI),False,False,False,False,True
140,CK402,Biological and Chemical Sciences,498.0,520.0,University College Cork (NUI),False,False,False,False,True
141,CK404,"Biological, Earth and Environmental Sciences",412.0,451.0,University College Cork (NUI),False,False,False,False,True
142,CK405,Genetics,476.0,496.0,University College Cork (NUI),False,False,False,False,True
143,CK406,Chemical Sciences,457.0,488.0,University College Cork (NUI),False,False,False,False,True
144,CK407,Mathematical Sciences,531.0,578.0,University College Cork (NUI),False,False,False,False,True
145,CK408,Physics and Astrophysics,511.0,566.0,University College Cork (NUI),False,False,False,False,True
146,CK409,Industrial Physics (offered jointly by UCC and CIT),413.0,532.0,University College Cork (NUI),False,False,False,False,True
147,CK411,Data Science and Analytics,509.0,542.0,University College Cork (NUI),False,False,False,False,True
148,CK412,Agricultural Science,457.0,509.0,University College Cork (NUI),False,False,False,False,True
149,CK502,Food Marketing and Entrepreneurship,433.0,456.0,University College Cork (NUI),False,False,False,False,True
150,CK504,Nutritional Sciences,492.0,509.0,University College Cork (NUI),False,False,False,False,True
151,CK505,Food Science,444.0,477.0,University College Cork (NUI),False,False,False,False,True
152,CK506,International Development and Food Policy,367.0,410.0,University College Cork (NUI),False,False,False,False,True
153,CK600,Engineering,465.0,532.0,University College Cork (NUI),False,False,False,False,True
154,CK606,Architecture (offered jointly by UCC and CIT),465.0,496.0,University College Cork (NUI),False,False,False,False,True
155,CK701,Medicine (Undergraduate Entry - HPAT required),729.0,740.0,University College Cork (NUI),True,False,False,False,True
156,CK702,Dentistry,590.0,613.0,University College Cork (NUI),False,False,False,False,True
157,CK703,Pharmacy,577.0,589.0,University College Cork (NUI),False,False,False,False,True
158,CK704,Occupational Therapy,532.0,554.0,University College Cork (NUI),False,True,False,False,True
159,CK705,Speech and Language Therapy,509.0,529.0,University College Cork (NUI),False,False,False,False,True
160,CK706,Public Health Sciences,419.0,451.0,University College Cork (NUI),False,False,False,False,True
161,CK707,Medical and Health Sciences,510.0,543.0,University College Cork (NUI),False,True,False,False,True
162,CK710,General Nursing,440.0,466.0,University College Cork (NUI),False,False,False,False,True
163,CK712,Children`s and General Nursing (Integrated),499.0,520.0,University College Cork (NUI),False,False,False,False,True
164,CK720,Mental Health Nursing,398.0,429.0,University College Cork (NUI),False,False,False,False,True
165,CK730,Intellectual Disability Nursing,359.0,388.0,University College Cork (NUI),False,False,False,False,True
166,CK740,Midwifery,444.0,474.0,University College Cork (NUI),False,False,False,False,True
167,CK791,Medicine  - Graduate Entry (GAMSAT required),58.0,59.0,University College Cork (NUI),True,True,False,False,True
168,AC120,International Business,234.0,269.0,American College,False,False,False,False,True
169,AC137,Liberal Arts,252.0,275.0,American College,False,False,False,False,True
170,CT125,Information Technology,235.0,280.0,CCT College Dublin,False,False,False,False,True
171,CM001,Education - Primary Teaching,452.0,462.0,Marino Institute of Education,False,True,False,False,True
172,CM002,Education - Primary Teaching - Gaeltacht Applicants,421.0,440.0,Marino Institute of Education,True,False,False,False,True
173,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491.0,506.0,Marino Institute of Education,True,False,False,False,True
174,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492.0,569.0,Marino Institute of Education,True,False,False,False,True
175,CM010,Education Studies,317.0,373.0,Marino Institute of Education,False,False,False,False,True
176,CM020,Early Childhood Education,336.0,363.0,Marino Institute of Education,False,False,False,False,True
177,DB500,Computing,242.0,320.0,Dublin Business School,False,False,False,False,True
178,DB501,Computing (Cloud Computing),326.0,329.0,Dublin Business School,False,False,False,False,True
179,DB502,Computing (Data Analytics and Big Data),269.0,269.0,Dublin Business School,False,False,False,False,True
180,DB503,Computing (Software Development),242.0,282.0,Dublin Business School,False,False,False,False,True
181,DB504,Computing (Web and Mobile Technology),227.0,269.0,Dublin Business School,False,False,False,False,True
182,DB510,Audio Production and Music Project Management,233.0,293.0,Dublin Business School,False,False,False,False,True
183,DB512,Business Studies,229.0,301.0,Dublin Business School,False,False,False,False,True
184,DB514,Business Studies (Law),269.0,337.0,Dublin Business School,False,False,False,False,True
185,DB515,Business Studies (Human Resource Management),225.0,288.0,Dublin Business School,False,False,False,False,True
186,DB516,Financial Services,328.0,336.0,Dublin Business School,False,False,False,False,True
187,DB517,Event Management,226.0,327.0,Dublin Business School,False,False,False,False,True
188,DB518,Marketing (Digital Media),210.0,289.0,Dublin Business School,False,False,False,False,True
189,DB521,Accounting and Finance,225.0,271.0,Dublin Business School,False,False,False,False,True
190,DB524,Business Information Systems,402.0,402.0,Dublin Business School,False,False,False,False,True
191,DB525,Marketing (Digital Media and Cloud Computing),284.0,309.0,Dublin Business School,False,False,False,False,True
192,DB526,Business Information Systems (Cloud Computing),253.0,288.0,Dublin Business School,False,False,False,False,True
193,DB527,Applied Social Care,235.0,288.0,Dublin Business School,False,False,False,False,True
194,DB531,Marketing,220.0,288.0,Dublin Business School,False,False,False,False,True
195,DB562,Psychology,208.0,310.0,Dublin Business School,False,False,False,False,True
196,DB566,Social Science,216.0,308.0,Dublin Business School,False,False,False,False,True
197,DB567,Film,192.0,295.0,Dublin Business School,False,False,False,False,True
198,DB568,Law,245.0,308.0,Dublin Business School,False,False,False,False,True
199,DB569,Business (Psychology),279.0,338.0,Dublin Business School,False,False,False,False,True
200,DC001,Education - Early Childhood Education,398.0,424.0,Dublin City University,False,False,False,False,True
201,DC002,Education - Primary Teaching,462.0,485.0,Dublin City University,False,True,False,False,True
202,DC003,Education - Primary Teaching - Gaeltacht Applicants,433.0,473.0,Dublin City University,True,False,False,False,True
203,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357.0,,Dublin City University,True,False,False,False,True
204,DC005,Education - Primary Teaching - Irish Sign Language,316.0,316.0,Dublin City University,True,False,False,False,True
205,DC009,Arts (Joint Honours) - Humanities,347.0,408.0,Dublin City University,False,False,False,False,True
